Count,Year
1,1953
2,1954
0,1955
1,1956
0,1957
1,1958
1,1959
1,1960
1,1961
1,1962
1,1963
1,1964
0,1965
2,1966
1,1967
1,1968
2,1969
0,1970
2,1971
2,1972
2,1973
1,1974
2,1975
3,1976
1,1977
1,1978
7,1979
4,1980
3,1981
8,1982
3,1983
5,1984
1,1985
6,1986
6,1987
7,1988
9,1989
7,1990
10,1991
3,1992
21,1993
13,1994
12,1995
8,1996
15,1997
25,1998
12,1999
13,2000
23,2001
20,2002
31,2003
29,2004
36,2005
48,2006
49,2007
60,2008
60,2009
71,2010
97,2011
105,2012
134,2013
151,2014
226,2015
351,2016
555,2017
733,2018
749,2019
657,2020
687,2021
